Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,StateAttributeTypeID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Agriculture:All,Agriculture,,,,,,1,,,,,
,,,,,Forest:Coniferous Medium,Forest,,,,,,1,,,,,
,,,,,Forest:Coniferous Old,Forest,,,,,,1,,,,,
,,,,,Forest:Coniferous Young,Forest,,,,,,1,,,,,
,,,,,Forest:Deciduous Medium,Forest,,,,,,1,,,,,
,,,,,Forest:Deciduous Old,Forest,,,,,,1,,,,,
,,,,,Forest:Deciduous Young,Forest,,,,,,1,,,,,
,,,,,Forest:Mixed Medium,Forest,,,,,,1,,,,,
,,,,,Forest:Mixed Old,Forest,,,,,,1,,,,,
,,,,,Forest:Mixed Young,Forest,,,,,,1,,,,,
,,,,,Urban:All,Urban,,,,,,1,,,,,
,,,,,Wetland:Forested,Wetland,,,,,,1,,,,,
,,,,,Wetland:Open,Wetland,,,,,,1,,,,,
