Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Agriculture->Urban [Type],0,0,,,,,
,,,,,Agriculture->Urban [Type],0.8889,1,,,,,
,,,,,Forest->Agriculture,0,0,,,,,
,,,,,Forest->Agriculture,0.8889,1,,,,,
,,,,,Forest->Urban,0,0,,,,,
,,,,,Forest->Urban,0.8889,1,,,,,
,,,,,Wetland:Forested->Agriculture [Type],0,0,,,,,
,,,,,Wetland:Forested->Agriculture [Type],0.8889,1,,,,,
,,,,,Wetland:Forested->Urban [Type],0,0,,,,,
,,,,,Wetland:Forested->Urban [Type],0.8889,1,,,,,
,,,,,Wetland:Open->Agriculture [Type],0,0,,,,,
,,,,,Wetland:Open->Agriculture [Type],0.8889,1,,,,,
,,,,,Wetland:Open->Urban [Type],0,0,,,,,
,,,,,Wetland:Open->Urban [Type],0.8889,1,,,,,
