Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture:All,,Urban:All,,,Agriculture->Urban,1.0000,,,,,,,,
,,,Forest:Coniferous Medium,,Agriculture:All,,,Forest:Coniferous Medium->Agriculture,1.0000,,,,,,,,
,,,Forest:Coniferous Medium,,Forest:Coniferous Old,,,Forest:Coniferous Medium->Forest:Coniferous Old,1.0000,,,,,,30,,
,,,Forest:Coniferous Medium,,Urban:All,,,Forest:Coniferous Medium->Urban,1.0000,,,,,,,,
,,,Forest:Coniferous Old,,Agriculture:All,,,Forest:Coniferous Old->Agriculture,1.0000,,,,,,,,
,,,Forest:Coniferous Old,,Urban:All,,,Forest:Coniferous Old->Urban,1.0000,,,,,,,,
,,,Forest:Coniferous Young,,Agriculture:All,,,Forest:Coniferous Young->Agriculture,1.0000,,,,,,,,
,,,Forest:Coniferous Young,,Forest:Coniferous Medium,,,Forest:Coniferous Young->Forest:Coniferous Medium,1.0000,,,,,,30,,
,,,Forest:Coniferous Young,,Urban:All,,,Forest:Coniferous Young->Urban,1.0000,,,,,,,,
,,,Forest:Deciduous Medium,,Agriculture:All,,,Forest:Deciduous Medium->Agriculture,1.0000,,,,,,,,
,,,Forest:Deciduous Medium,,Forest:Deciduous Old,,,Forest:Deciduous Medium->Forest:Deciduous Old,1.0000,,,,,,30,,
,,,Forest:Deciduous Medium,,Urban:All,,,Forest:Deciduous Medium->Urban,1.0000,,,,,,,,
,,,Forest:Deciduous Old,,Agriculture:All,,,Forest:Deciduous Old->Agriculture,1.0000,,,,,,,,
,,,Forest:Deciduous Old,,Urban:All,,,Forest:Deciduous Old->Urban,1.0000,,,,,,,,
,,,Forest:Deciduous Young,,Agriculture:All,,,Forest:Deciduous Young->Agriculture,1.0000,,,,,,,,
,,,Forest:Deciduous Young,,Forest:Deciduous Medium,,,Forest:Deciduous Young->Forest:Deciduous Medium,1.0000,,,,,,30,,
,,,Forest:Deciduous Young,,Urban:All,,,Forest:Deciduous Young->Urban,1.0000,,,,,,,,
,,,Forest:Mixed Medium,,Agriculture:All,,,Forest:Mixed Medium->Agriculture,1.0000,,,,,,,,
,,,Forest:Mixed Medium,,Forest:Mixed Old,,,Forest:Mixed Medium->Forest:Mixed Old,1.0000,,,,,,30,,
,,,Forest:Mixed Medium,,Urban:All,,,Forest:Mixed Medium->Urban,1.0000,,,,,,,,
,,,Forest:Mixed Old,,Agriculture:All,,,Forest:Mixed Old->Agriculture,1.0000,,,,,,,,
,,,Forest:Mixed Old,,Urban:All,,,Forest:Mixed Old->Urban,1.0000,,,,,,,,
,,,Forest:Mixed Young,,Agriculture:All,,,Forest:Mixed Young->Agriculture,1.0000,,,,,,,,
,,,Forest:Mixed Young,,Forest:Mixed Medium,,,Forest:Mixed Young->Forest:Mixed Medium,1.0000,,,,,,30,,
,,,Forest:Mixed Young,,Urban:All,,,Forest:Mixed Young->Urban,1.0000,,,,,,,,
,,,Wetland:Forested,,Agriculture:All,,,Wetland:Forested->Agriculture,1.0000,,,,,,,,
,,,Wetland:Forested,,Urban:All,,,Wetland:Forested->Urban,1.0000,,,,,,,,
,,,Wetland:Open,,Agriculture:All,,,Wetland:Open->Agriculture,1.0000,,,,,,,,
,,,Wetland:Open,,Urban:All,,,Wetland:Open->Urban,1.0000,,,,,,,,
